id,dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,sourceURLs,websites
AV12jcS7a4HuVbed9YgJ,2017-07-24T21:43:08Z,2018-06-19T09:40:48Z,423 North Pennsylvania,Fast Food Restaurant,Independence,US,us/ks/independence/423northpennsylvania/93075755,37.227266,-95.707012,Arby's,67301,KS,"https://foursquare.com/v/arbys/4c81a8cd88e6199c0fb8b3d4,http://www.citysearch.com/profile/4228609/independence_ks/arby_s.html,https://www.allmenus.com/ks/independence/159251-arbys/menu/","http://www.arbys.com,http://locations.arbys.com/us/ks/independence/423-north-pennsylvania.html"
AVwemTFTByjofQCxzuUx,2017-02-25T20:34:58Z,2018-06-19T09:40:44Z,1501 San Pablo St,Fast Food Restaurants,Los Angeles,US,us/ca/losangeles/1501sanpablost/-2026707881,34.062408,-118.203283,Einstein Bros Bagels,90033,CA,"https://www.allmenus.com/ca/los-angeles/149477-einstein-bros-bagels/menu/,http://www.superpages.com/bp/los-angeles-ca/einstein-bros-bagels-L2470204283.htm,https://foursquare.com/v/einstein-bros-bagels/4b748498f964a52071e12de3",http://einsteinbros.com
AVweRBvS_7pvs4fzBe8O,2015-10-23T00:25:04Z,2018-06-19T09:39:36Z,878 Post Rd,Fast Food Restaurants,Warwick,US,us/ri/warwick/878postrd/-46046746,41.751815,-71.416281,Dragon Dragon,02888,RI,"https://foursquare.com/v/dragon-dragon/4c0685d62e80a593053574f9,https://www.tripadvisor.com/Restaurant_Review-g54121-d4161239-Reviews-Dragon_Dragon-Warwick_Rhode_Island.html,http://www.yellowbook.com/profile/dragon-dragon_1501592129.html,https://www.allmenus.com/ri/warwick/535894-dragon-dragon/menu/,https://www.yellowpages.com/warwick-ri/mip/dragon-dragon-8093341",http://www.dragondragon888.com
AVwdqq4L_7pvs4fz8Jfy,2015-10-19T17:16:35Z,2018-06-19T09:39:22Z,4299 W Ina Rd,Fast Food Restaurants,Tucson,US,us/az/tucson/4299winard/93075755,32.337175,-111.05709,Arby's,85741,AZ,"https://foursquare.com/v/arbys/4f32b48a19836c91c7f1a243,https://www.yellowpages.com/tucson-az/mip/arbys-1555757,https://www.allmenus.com/az/tucson/159853-arbys/menu/",http://www.arbys.com
AVzBDKeq-gnIPe8DSihZ,2017-06-19T15:50:51Z,2018-06-19T09:39:22Z,1530 W Valencia Rd,Fast Food,Tucson,US,us/az/tucson/1530wvalenciard/93075755,32.134323,-110.997199,Arby's,85746,AZ,"https://www.allmenus.com/az/tucson/159850-arbys/menu/,http://www.citysearch.com/profile/1758015/tucson_az/arby_s.html,https://foursquare.com/v/arbys/4b859a28f964a520f26731e3,http://tripadvisor.com/Restaurant_Review-g60950-d4726357-Reviews-Arby_s-Tucson_Arizona.html,https://www.yellowpages.com/tucson-az/mip/arbys-12719456","http://www.arbys.com,https://locations.arbys.com/us/az/tucson/1530-w-valencia-rd.html,http://locations.arbys.com/us/az/tucson/1530-w-valencia-rd.html"
AVzBDKeq-gnIPe8DSihZ,2017-06-19T15:50:51Z,2018-06-19T09:39:22Z,1530 W Valencia Rd,Fast Food Restaurant,Tucson,US,us/az/tucson/1530wvalenciard/93075755,32.134323,-110.997199,Arby's,85746,AZ,"https://www.allmenus.com/az/tucson/159850-arbys/menu/,http://www.citysearch.com/profile/1758015/tucson_az/arby_s.html,https://foursquare.com/v/arbys/4b859a28f964a520f26731e3,http://tripadvisor.com/Restaurant_Review-g60950-d4726357-Reviews-Arby_s-Tucson_Arizona.html,https://www.yellowpages.com/tucson-az/mip/arbys-12719456","http://www.arbys.com,https://locations.arbys.com/us/az/tucson/1530-w-valencia-rd.html,http://locations.arbys.com/us/az/tucson/1530-w-valencia-rd.html"
AVweL1a2ByjofQCxwA1M,2016-05-29T00:23:13Z,2018-06-19T09:39:22Z,875 N Main St,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Taylor,US,us/az/taylor/875nmainst/93075755,34.477558,-110.084676,Arby's,85939,AZ,"https://www.allmenus.com/az/taylor/159856-arbys/menu/,https://www.yellowpages.com/taylor-az/mip/arbys-542829993,http://www.yellowpages.com/taylor-az/mip/arbys-1702525,https://www.tripadvisor.com/Restaurant_Review-g31359-d4683363-Reviews-Arby_s-Snowflake_Arizona.html,http://tripadvisor.com/Restaurant_Review-g31359-d4683363-Reviews-Arby_s-Snowflake_Arizona.html,https://www.yellowpages.com/taylor-az/mip/arbys-1702525,https://foursquare.com/v/arbys/4c704a859375a0933fa40637","http://www.arbys.com,https://locations.arbys.com/us/az/taylor/875-n-main-st.html,http://locations.arbys.com/us/az/taylor/875-n-main-st.html,http://arbys.com"
AVwdxqgCkufWRAb59Jjp,2015-12-02T19:16:58Z,2018-06-19T09:39:21Z,7350 E McDowell Rd,Fast Food Restaurants,Scottsdale,US,us/az/scottsdale/7350emcdowellrd/93075755,33.466232,-111.922231,Arby's,85257,AZ,"https://www.allmenus.com/az/scottsdale/159842-arbys/menu/,https://foursquare.com/v/arbys/4b5bafb4f964a520fc0f29e3,https://www.tripadvisor.com/Restaurant_Review-g31350-d7823962-Reviews-Arby_s-Scottsdale_Arizona.html,https://www.yellowpages.com/scottsdale-az/mip/arbys-8591832","http://www.arbys.com,https://locations.arbys.com/us/az/scottsdale/7350-e-mcdowell-rd.html"
AV1dNq_DIxWefVJwe0-D,2017-07-19T23:37:31Z,2018-06-19T09:39:21Z,1999 E Fry Blvd,Fast Food Restaurants,Sierra Vista,US,us/az/sierravista/1999efryblvd/93075755,31.555069,-110.278089,Arby's,85635,AZ,"https://www.yellowpages.com/sierra-vista-az/mip/arbys-1913850,http://tripadvisor.com/Restaurant_Review-g31357-d4614852-Reviews-Arby_s-Sierra_Vista_Arizona.html,https://foursquare.com/v/arbys/4cf9adbdc6cca35d2ab58132,http://www.citysearch.com/profile/747632680/sierra_vista_az/arby_s.html,https://www.allmenus.com/az/sierra-vista/159844-arbys/menu/","http://www.arbys.com,https://locations.arbys.com/us/az/sierra-vista/1999-e-fry-blvd.html,http://locations.arbys.com/us/az/sierra-vista/1999-e-fry-blvd.html"
AVzA-iCxLD2H7whiWIcc,2017-06-19T15:30:36Z,2018-06-19T09:39:21Z,7285 E 22nd St,Fast Food Restaurant,Tucson,US,us/az/tucson/7285e22ndst/93075755,32.207035,-110.837469,Arby's,85710,AZ,"http://www.citysearch.com/profile/1738736/tucson_az/arby_s.html,http://tripadvisor.com/Restaurant_Review-g60950-d4278855-Reviews-Arby_s-Tucson_Arizona.html,https://foursquare.com/v/arbys/4be8c3a2c5220f472f32aaca,https://www.yellowpages.com/tucson-az/mip/arbys-2845872,https://www.allmenus.com/az/tucson/159846-arbys/menu/","http://www.arbys.com,https://locations.arbys.com/us/az/tucson/7285-e-22nd-st.html,http://locations.arbys.com/us/az/tucson/7285-e-22nd-st.html"
AVwcglh3kufWRAb5v7K-,2015-09-13T02:36:11Z,2018-06-19T09:39:20Z,3826 E Thomas Rd,Fast Food,Phoenix,US,us/az/phoenix/3826ethomasrd/93075755,33.480706,-111.998419,Arby's,85018,AZ,"https://www.trip.com/phoenix/restaurants/arbys_12,http://www.superpages.com/bp/phoenix-az/arbys-L0502277150.htm,https://foursquare.com/v/arbys/4b05bc21f964a520f7e122e3,https://www.allmenus.com/az/phoenix/159833-arbys/menu/","http://www.arbys.com,http://www.arbys.com/,http://arbys.com"
AVwcglh3kufWRAb5v7K-,2015-09-13T02:36:11Z,2018-06-19T09:39:20Z,3826 E Thomas Rd,Fast Food Restaurant,Phoenix,US,us/az/phoenix/3826ethomasrd/93075755,33.480706,-111.998419,Arby's,85018,AZ,"https://www.trip.com/phoenix/restaurants/arbys_12,http://www.superpages.com/bp/phoenix-az/arbys-L0502277150.htm,https://foursquare.com/v/arbys/4b05bc21f964a520f7e122e3,https://www.allmenus.com/az/phoenix/159833-arbys/menu/","http://www.arbys.com,http://www.arbys.com/,http://arbys.com"
AVwcglh3kufWRAb5v7K-,2015-09-13T02:36:11Z,2018-06-19T09:39:20Z,3826 E Thomas Rd,"Fast Food Restaurant, Sandwich Place, and American Restaurant Camelback East",Phoenix,US,us/az/phoenix/3826ethomasrd/93075755,33.480706,-111.998419,Arby's,85018,AZ,"https://www.trip.com/phoenix/restaurants/arbys_12,http://www.superpages.com/bp/phoenix-az/arbys-L0502277150.htm,https://foursquare.com/v/arbys/4b05bc21f964a520f7e122e3,https://www.allmenus.com/az/phoenix/159833-arbys/menu/","http://www.arbys.com,http://www.arbys.com/,http://arbys.com"
AVwdUqP3ByjofQCxn5Hp,2015-11-06T10:38:35Z,2018-06-19T09:39:20Z,119 E Baseline Rd,Fast Food Restaurant,Phoenix,US,us/az/phoenix/119ebaselinerd/93075755,33.377368,-112.070873,Arby's,85040,AZ,"https://www.trip.com/phoenix/restaurants/arbys_7,https://www.tripadvisor.com/Restaurant_Review-g31310-d4279365-Reviews-Arby_s-Phoenix_Arizona.html,http://www.citysearch.com/profile/1655026/phoenix_az/arby_s.html,https://www.yellowpages.com/phoenix-az/mip/arbys-4604046,https://foursquare.com/v/arbys/4b8c9405f964a52035d732e3,https://www.allmenus.com/az/phoenix/159828-arbys/menu/,http://www.dexknows.com/business_profiles/arby_s-l1049077630","http://www.arbys.com,http://www.arbys.com/,http://locations.arbys.com/us/az/phoenix/119-e-baseline-rd.html,http://arbys.com"
